file,nameshort,namefull
Barandovský_most.csv,barrandov,Barandovský most
Celetná.csv,celetna,Celetná
Chodov.csv,chodov,Chodov
Císařský_ostrov.csv,cisarskyostrov,Císařský ostrov
Divoká_šárka.csv,divokasarka,Divoká šárka
Dubeč.csv,dubec,Dubeč
Dukelských_hrdinů.csv,dukelskychhrdinu,Dukelských hrdinů
Elsnicovo_náměstí.csv,elsnicovonam,Elsnicovo náměstí
Hlubočepská.csv,hlubocepska,Hlubočepská
Kolčavka.csv,kolcavka,Kolčavka
Košíře.csv,kosire,Košíře
Krč_(Sulická).csv,krc,Krč (Sulická)
Lahovičky_(Strakonická).csv,lahovicky,Lahovičky (Strakonická)
Letňany.csv,letnany,Letňany
Modřany-Komořany.csv,modrany,Modřany-Komořany
Nuselský_most.csv,nuselskymost,Nuselský most
Nábřeží_kapitána_jaroše.csv,nabrezikptjarose,Nábřeží kapitána jaroše
Pelléova.csv,pelleova,Pelléova
Podbabská.csv,podbabska,Podbabská
Podolské_nábřeží.csv,podolskenabrezi,Podolské nábřeží
Podolské_nábřeží_-_vozovka.csv,podolskenabrezivozovka,Podolské nábřeží - vozovka
Podolí.csv,podoli,Podolí
Povltavská.csv,povltavska,Povltavská
Radotín.csv,radotin,Radotín
Rohanské_nábřeží.csv,rohanskenabrezi,Rohanské nábřeží
Střešovice.csv,stresovice,Střešovice
Vršovická.csv,vrsovicka,Vršovická
Vysočany.csv,vysocany,Vysočany
Vítkov.csv,vitkov,Vítkov
Šeberov.csv,seberov,Šeberov
Šárecké_údolí.csv,sareckeudoli,Šárecké údolí